,state,vehicle_category,penetration_rate_2022,penetration_rate_2024,change
34,Ladakh,2-Wheelers,5.277777777777778,4.029144110665849,-1.2486336671119282
1,Andaman & Nicobar Island,4-Wheelers,1.3556167021144665,0.8318661100873282,-0.5237505920271383
