,maker,2022,2023,2024,CAGR,Total_2022,Total_2023,Total_2024,Market_Share_2022,Market_Share_2023,Market_Share_2024
7,PCA Automobiles,0,151,1533,1140.967365,18430,46199,83355,0.0,0.32684690144808326,1.8391218283246353
1,BYD India,33,920,1466,566.5151342936065,18430,46199,83355,0.17905588714053175,1.9913850949154746,1.7587427268910085
5,Mahindra & Mahindra,4042,13805,23346,140.33005508784265,18430,46199,83355,21.93163320672816,29.881599168813178,28.007917941335254
4,MG Motor,1647,3277,8829,131.53089940016466,18430,46199,83355,8.93651654910472,7.093227126128271,10.592046068022313
8,Tata Motors,12708,28046,48181,94.71495190679495,18430,46199,83355,68.95279435702659,60.706941708695,57.802171435426786
