month,electric_vehicles_sold
3,97195.66666666667
11,89518.5
10,81497.5
5,79185.0
12,75580.0
2,66016.33333333333
4,64171.0
9,63310.5
1,63033.0
8,62404.0
7,55816.0
6,50611.0
