,state,projected_ev_sales_2030
0,Tripura,118637.99999999993
1,Meghalaya,13072.111111111102
2,West Bengal,158875.39755626098
3,DNH and DD,2403.3580246913584
4,Goa,71357.4989667762
5,Assam,21197.806007551204
6,Uttar Pradesh,297886.20040980884
7,Chhattisgarh,115981.88429426476
8,Puducherry,15111.723775463137
9,Kerala,250878.56140012603
