,date,vehicle_category,maker,electric_vehicles_sold,fiscal_year,quarter
106,2021-07-01,2-Wheelers,REVOLT,321,2022,Q2
107,2021-07-01,2-Wheelers,BAJAJ,730,2022,Q2
108,2021-07-01,2-Wheelers,BEING,494,2022,Q2
109,2021-07-01,2-Wheelers,JITENDRA,212,2022,Q2
110,2021-07-01,2-Wheelers,OTHERS,1202,2022,Q2
111,2021-08-01,2-Wheelers,OLA ELECTRIC,0,2022,Q2
122,2021-08-01,2-Wheelers,HERO ELECTRIC,5527,2022,Q2
123,2021-08-01,2-Wheelers,OKINAWA,2894,2022,Q2
124,2021-08-01,2-Wheelers,AMPERE,810,2022,Q2
125,2021-08-01,2-Wheelers,ATHER,1613,2022,Q2
126,2021-08-01,2-Wheelers,PURE EV,1094,2022,Q2
127,2021-08-01,2-Wheelers,TVS,651,2022,Q2
128,2021-08-01,2-Wheelers,REVOLT,853,2022,Q2
129,2021-08-01,2-Wheelers,BAJAJ,796,2022,Q2
130,2021-08-01,2-Wheelers,BEING,325,2022,Q2
131,2021-08-01,2-Wheelers,JITENDRA,208,2022,Q2
132,2021-08-01,2-Wheelers,OTHERS,1279,2022,Q2
133,2021-09-01,2-Wheelers,OLA ELECTRIC,0,2022,Q2
144,2021-09-01,2-Wheelers,HERO ELECTRIC,6727,2022,Q2
145,2021-09-01,2-Wheelers,OKINAWA,3321,2022,Q2
146,2021-09-01,2-Wheelers,AMPERE,807,2022,Q2
147,2021-09-01,2-Wheelers,ATHER,2174,2022,Q2
148,2021-09-01,2-Wheelers,PURE EV,1337,2022,Q2
149,2021-09-01,2-Wheelers,TVS,688,2022,Q2
150,2021-09-01,2-Wheelers,REVOLT,499,2022,Q2
151,2021-09-01,2-Wheelers,BAJAJ,381,2022,Q2
152,2021-09-01,2-Wheelers,BEING,337,2022,Q2
153,2021-09-01,2-Wheelers,JITENDRA,134,2022,Q2
154,2021-09-01,2-Wheelers,OTHERS,1627,2022,Q2
155,2021-10-01,2-Wheelers,OLA ELECTRIC,0,2022,Q3
166,2021-10-01,2-Wheelers,HERO ELECTRIC,6799,2022,Q3
167,2021-10-01,2-Wheelers,OKINAWA,4166,2022,Q3
168,2021-10-01,2-Wheelers,AMPERE,1083,2022,Q3
169,2021-10-01,2-Wheelers,ATHER,2647,2022,Q3
170,2021-10-01,2-Wheelers,PURE EV,1400,2022,Q3
171,2021-10-01,2-Wheelers,TVS,486,2022,Q3
172,2021-10-01,2-Wheelers,REVOLT,900,2022,Q3
173,2021-10-01,2-Wheelers,BAJAJ,754,2022,Q3
174,2021-10-01,2-Wheelers,BEING,469,2022,Q3
175,2021-10-01,2-Wheelers,JITENDRA,283,2022,Q3
176,2021-10-01,2-Wheelers,OTHERS,1826,2022,Q3
177,2021-11-01,2-Wheelers,OLA ELECTRIC,0,2022,Q3
188,2021-11-01,2-Wheelers,HERO ELECTRIC,7493,2022,Q3
189,2021-11-01,2-Wheelers,OKINAWA,5542,2022,Q3
190,2021-11-01,2-Wheelers,AMPERE,2077,2022,Q3
191,2021-11-01,2-Wheelers,ATHER,2202,2022,Q3
192,2021-11-01,2-Wheelers,PURE EV,1688,2022,Q3
193,2021-11-01,2-Wheelers,TVS,522,2022,Q3
194,2021-11-01,2-Wheelers,REVOLT,780,2022,Q3
195,2021-11-01,2-Wheelers,BAJAJ,728,2022,Q3
196,2021-11-01,2-Wheelers,BEING,912,2022,Q3
197,2021-11-01,2-Wheelers,JITENDRA,273,2022,Q3
198,2021-11-01,2-Wheelers,OTHERS,2317,2022,Q3
209,2022-05-01,2-Wheelers,OLA ELECTRIC,9266,2023,Q1
210,2022-05-01,2-Wheelers,OKINAWA,10340,2023,Q1
211,2022-05-01,2-Wheelers,HERO ELECTRIC,2970,2023,Q1
212,2022-05-01,2-Wheelers,AMPERE,6176,2023,Q1
213,2022-05-01,2-Wheelers,TVS,478,2023,Q1
214,2022-05-01,2-Wheelers,ATHER,3337,2023,Q1
215,2022-05-01,2-Wheelers,BAJAJ,1812,2023,Q1
216,2022-05-01,2-Wheelers,OKAYA EV,19,2023,Q1
217,2022-05-01,2-Wheelers,REVOLT,1589,2023,Q1
218,2022-05-01,2-Wheelers,PURE EV,1464,2023,Q1
219,2022-05-01,2-Wheelers,BEING,862,2023,Q1
220,2022-05-01,2-Wheelers,JITENDRA,646,2023,Q1
221,2022-05-01,2-Wheelers,OTHERS,3455,2023,Q1
232,2022-06-01,2-Wheelers,OLA ELECTRIC,5897,2023,Q1
233,2022-06-01,2-Wheelers,OKINAWA,7554,2023,Q1
234,2022-06-01,2-Wheelers,HERO ELECTRIC,6836,2023,Q1
235,2022-06-01,2-Wheelers,AMPERE,6919,2023,Q1
236,2022-06-01,2-Wheelers,TVS,1983,2023,Q1
237,2022-06-01,2-Wheelers,ATHER,3829,2023,Q1
238,2022-06-01,2-Wheelers,BAJAJ,1824,2023,Q1
239,2022-06-01,2-Wheelers,OKAYA EV,760,2023,Q1
240,2022-06-01,2-Wheelers,REVOLT,2423,2023,Q1
241,2022-06-01,2-Wheelers,PURE EV,1125,2023,Q1
242,2022-06-01,2-Wheelers,BEING,1005,2023,Q1
243,2022-06-01,2-Wheelers,JITENDRA,568,2023,Q1
244,2022-06-01,2-Wheelers,OTHERS,3658,2023,Q1
255,2022-07-01,2-Wheelers,OLA ELECTRIC,3864,2023,Q2
256,2022-07-01,2-Wheelers,OKINAWA,8394,2023,Q2
257,2022-07-01,2-Wheelers,HERO ELECTRIC,9334,2023,Q2
258,2022-07-01,2-Wheelers,AMPERE,6812,2023,Q2
259,2022-07-01,2-Wheelers,TVS,4348,2023,Q2
260,2022-07-01,2-Wheelers,ATHER,1289,2023,Q2
261,2022-07-01,2-Wheelers,BAJAJ,2482,2023,Q2
262,2022-07-01,2-Wheelers,OKAYA EV,1076,2023,Q2
263,2022-07-01,2-Wheelers,REVOLT,2318,2023,Q2
264,2022-07-01,2-Wheelers,PURE EV,1000,2023,Q2
265,2022-07-01,2-Wheelers,BEING,1245,2023,Q2
266,2022-07-01,2-Wheelers,JITENDRA,880,2023,Q2
267,2022-07-01,2-Wheelers,OTHERS,3562,2023,Q2
278,2022-08-01,2-Wheelers,OLA ELECTRIC,3475,2023,Q2
279,2022-08-01,2-Wheelers,OKINAWA,8756,2023,Q2
280,2022-08-01,2-Wheelers,HERO ELECTRIC,9925,2023,Q2
281,2022-08-01,2-Wheelers,AMPERE,6771,2023,Q2
282,2022-08-01,2-Wheelers,TVS,6426,2023,Q2
283,2022-08-01,2-Wheelers,ATHER,5376,2023,Q2
284,2022-08-01,2-Wheelers,BAJAJ,2620,2023,Q2
285,2022-08-01,2-Wheelers,OKAYA EV,905,2023,Q2
286,2022-08-01,2-Wheelers,REVOLT,1662,2023,Q2
287,2022-08-01,2-Wheelers,PURE EV,880,2023,Q2
288,2022-08-01,2-Wheelers,BEING,1099,2023,Q2
289,2022-08-01,2-Wheelers,JITENDRA,653,2023,Q2
290,2022-08-01,2-Wheelers,OTHERS,3678,2023,Q2
301,2022-09-01,2-Wheelers,OLA ELECTRIC,8065,2023,Q2
302,2022-09-01,2-Wheelers,OKINAWA,8497,2023,Q2
303,2022-09-01,2-Wheelers,HERO ELECTRIC,8208,2023,Q2
304,2022-09-01,2-Wheelers,AMPERE,6488,2023,Q2
305,2022-09-01,2-Wheelers,TVS,4001,2023,Q2
306,2022-09-01,2-Wheelers,ATHER,6280,2023,Q2
307,2022-09-01,2-Wheelers,BAJAJ,3649,2023,Q2
308,2022-09-01,2-Wheelers,OKAYA EV,954,2023,Q2
309,2022-09-01,2-Wheelers,REVOLT,865,2023,Q2
310,2022-09-01,2-Wheelers,PURE EV,790,2023,Q2
311,2022-09-01,2-Wheelers,BEING,975,2023,Q2
312,2022-09-01,2-Wheelers,JITENDRA,661,2023,Q2
313,2022-09-01,2-Wheelers,OTHERS,3849,2023,Q2
324,2022-10-01,2-Wheelers,OLA ELECTRIC,15391,2023,Q3
325,2022-10-01,2-Wheelers,OKINAWA,14950,2023,Q3
326,2022-10-01,2-Wheelers,HERO ELECTRIC,8868,2023,Q3
327,2022-10-01,2-Wheelers,AMPERE,10113,2023,Q3
328,2022-10-01,2-Wheelers,TVS,5820,2023,Q3
329,2022-10-01,2-Wheelers,ATHER,7356,2023,Q3
330,2022-10-01,2-Wheelers,BAJAJ,3549,2023,Q3
331,2022-10-01,2-Wheelers,OKAYA EV,1968,2023,Q3
332,2022-10-01,2-Wheelers,REVOLT,1041,2023,Q3
333,2022-10-01,2-Wheelers,PURE EV,1047,2023,Q3
334,2022-10-01,2-Wheelers,BEING,1422,2023,Q3
335,2022-10-01,2-Wheelers,JITENDRA,1111,2023,Q3
336,2022-10-01,2-Wheelers,OTHERS,4614,2023,Q3
347,2022-11-01,2-Wheelers,OLA ELECTRIC,15797,2023,Q3
348,2022-11-01,2-Wheelers,OKINAWA,9068,2023,Q3
349,2022-11-01,2-Wheelers,HERO ELECTRIC,9026,2023,Q3
350,2022-11-01,2-Wheelers,AMPERE,12446,2023,Q3
351,2022-11-01,2-Wheelers,TVS,8147,2023,Q3
352,2022-11-01,2-Wheelers,ATHER,7837,2023,Q3
353,2022-11-01,2-Wheelers,BAJAJ,3057,2023,Q3
354,2022-11-01,2-Wheelers,OKAYA EV,1783,2023,Q3
355,2022-11-01,2-Wheelers,REVOLT,524,2023,Q3
356,2022-11-01,2-Wheelers,PURE EV,925,2023,Q3
357,2022-11-01,2-Wheelers,BEING,1216,2023,Q3
358,2022-11-01,2-Wheelers,JITENDRA,1256,2023,Q3
359,2022-11-01,2-Wheelers,OTHERS,5693,2023,Q3
370,2021-12-01,2-Wheelers,HERO ELECTRIC,6402,2022,Q3
371,2021-12-01,2-Wheelers,OKINAWA,6184,2022,Q3
372,2021-12-01,2-Wheelers,AMPERE,3410,2022,Q3
373,2021-12-01,2-Wheelers,ATHER,1813,2022,Q3
374,2021-12-01,2-Wheelers,PURE EV,1685,2022,Q3
375,2021-12-01,2-Wheelers,OLA ELECTRIC,240,2022,Q3
376,2021-12-01,2-Wheelers,TVS,1119,2022,Q3
377,2021-12-01,2-Wheelers,REVOLT,835,2022,Q3
378,2021-12-01,2-Wheelers,BAJAJ,642,2022,Q3
379,2021-12-01,2-Wheelers,BEING,1190,2022,Q3
380,2021-12-01,2-Wheelers,JITENDRA,503,2022,Q3
381,2021-12-01,2-Wheelers,OTHERS,2603,2022,Q3
392,2022-12-01,2-Wheelers,OLA ELECTRIC,16919,2023,Q3
393,2022-12-01,2-Wheelers,OKINAWA,5281,2023,Q3
394,2022-12-01,2-Wheelers,HERO ELECTRIC,8100,2023,Q3
395,2022-12-01,2-Wheelers,AMPERE,4592,2023,Q3
396,2022-12-01,2-Wheelers,TVS,9363,2023,Q3
397,2022-12-01,2-Wheelers,ATHER,7693,2023,Q3
398,2022-12-01,2-Wheelers,BAJAJ,3240,2023,Q3
399,2022-12-01,2-Wheelers,OKAYA EV,1445,2023,Q3
400,2022-12-01,2-Wheelers,REVOLT,37,2023,Q3
401,2022-12-01,2-Wheelers,PURE EV,780,2023,Q3
402,2022-12-01,2-Wheelers,BEING,966,2023,Q3
403,2022-12-01,2-Wheelers,JITENDRA,668,2023,Q3
404,2022-12-01,2-Wheelers,OTHERS,5557,2023,Q3
415,2022-01-01,2-Wheelers,HERO ELECTRIC,8238,2022,Q4
416,2022-01-01,2-Wheelers,OKINAWA,5737,2022,Q4
417,2022-01-01,2-Wheelers,AMPERE,4366,2022,Q4
418,2022-01-01,2-Wheelers,ATHER,1881,2022,Q4
419,2022-01-01,2-Wheelers,PURE EV,1691,2022,Q4
420,2022-01-01,2-Wheelers,OLA ELECTRIC,1107,2022,Q4
421,2022-01-01,2-Wheelers,TVS,1155,2022,Q4
422,2022-01-01,2-Wheelers,REVOLT,673,2022,Q4
423,2022-01-01,2-Wheelers,BAJAJ,612,2022,Q4
424,2022-01-01,2-Wheelers,BEING,1062,2022,Q4
425,2022-01-01,2-Wheelers,JITENDRA,535,2022,Q4
426,2022-01-01,2-Wheelers,OTHERS,3065,2022,Q4
437,2023-01-01,2-Wheelers,OLA ELECTRIC,20148,2023,Q4
438,2023-01-01,2-Wheelers,OKINAWA,4407,2023,Q4
439,2023-01-01,2-Wheelers,HERO ELECTRIC,6399,2023,Q4
440,2023-01-01,2-Wheelers,AMPERE,4456,2023,Q4
441,2023-01-01,2-Wheelers,TVS,10462,2023,Q4
442,2023-01-01,2-Wheelers,ATHER,9224,2023,Q4
443,2023-01-01,2-Wheelers,BAJAJ,2252,2023,Q4
444,2023-01-01,2-Wheelers,OKAYA EV,1265,2023,Q4
445,2023-01-01,2-Wheelers,REVOLT,14,2023,Q4
446,2023-01-01,2-Wheelers,PURE EV,717,2023,Q4
447,2023-01-01,2-Wheelers,BEING,571,2023,Q4
448,2023-01-01,2-Wheelers,JITENDRA,522,2023,Q4
449,2023-01-01,2-Wheelers,OTHERS,4241,2023,Q4
460,2022-02-01,2-Wheelers,HERO ELECTRIC,7773,2022,Q4
461,2022-02-01,2-Wheelers,OKINAWA,6122,2022,Q4
462,2022-02-01,2-Wheelers,AMPERE,4431,2022,Q4
463,2022-02-01,2-Wheelers,ATHER,2232,2022,Q4
464,2022-02-01,2-Wheelers,PURE EV,1428,2022,Q4
465,2022-02-01,2-Wheelers,OLA ELECTRIC,3911,2022,Q4
466,2022-02-01,2-Wheelers,TVS,1560,2022,Q4
467,2022-02-01,2-Wheelers,REVOLT,1128,2022,Q4
468,2022-02-01,2-Wheelers,BAJAJ,1372,2022,Q4
469,2022-02-01,2-Wheelers,BEING,1149,2022,Q4
470,2022-02-01,2-Wheelers,JITENDRA,583,2022,Q4
471,2022-02-01,2-Wheelers,OTHERS,4033,2022,Q4
482,2023-02-01,2-Wheelers,OLA ELECTRIC,17762,2023,Q4
483,2023-02-01,2-Wheelers,OKINAWA,3848,2023,Q4
484,2023-02-01,2-Wheelers,HERO ELECTRIC,5863,2023,Q4
485,2023-02-01,2-Wheelers,AMPERE,6003,2023,Q4
486,2023-02-01,2-Wheelers,TVS,12671,2023,Q4
487,2023-02-01,2-Wheelers,ATHER,10069,2023,Q4
488,2023-02-01,2-Wheelers,BAJAJ,2537,2023,Q4
489,2023-02-01,2-Wheelers,OKAYA EV,1232,2023,Q4
490,2023-02-01,2-Wheelers,REVOLT,79,2023,Q4
491,2023-02-01,2-Wheelers,PURE EV,488,2023,Q4
492,2023-02-01,2-Wheelers,BEING,337,2023,Q4
493,2023-02-01,2-Wheelers,JITENDRA,308,2023,Q4
494,2023-02-01,2-Wheelers,OTHERS,4874,2023,Q4
505,2022-03-01,2-Wheelers,HERO ELECTRIC,13652,2022,Q4
506,2022-03-01,2-Wheelers,OKINAWA,8586,2022,Q4
507,2022-03-01,2-Wheelers,AMPERE,6666,2022,Q4
508,2022-03-01,2-Wheelers,ATHER,2232,2022,Q4
509,2022-03-01,2-Wheelers,PURE EV,2065,2022,Q4
510,2022-03-01,2-Wheelers,OLA ELECTRIC,9143,2022,Q4
511,2022-03-01,2-Wheelers,TVS,2391,2022,Q4
512,2022-03-01,2-Wheelers,REVOLT,1413,2022,Q4
513,2022-03-01,2-Wheelers,BAJAJ,855,2022,Q4
514,2022-03-01,2-Wheelers,BEING,1013,2022,Q4
515,2022-03-01,2-Wheelers,JITENDRA,1052,2022,Q4
516,2022-03-01,2-Wheelers,OTHERS,5330,2022,Q4
527,2023-04-01,2-Wheelers,OLA ELECTRIC,22548,2024,Q1
528,2023-04-01,2-Wheelers,TVS,8654,2024,Q1
529,2023-04-01,2-Wheelers,ATHER,7707,2024,Q1
530,2023-04-01,2-Wheelers,BAJAJ,4043,2024,Q1
531,2023-04-01,2-Wheelers,AMPERE,8767,2024,Q1
532,2023-04-01,2-Wheelers,OKINAWA,3179,2024,Q1
533,2023-04-01,2-Wheelers,HERO ELECTRIC,3293,2024,Q1
534,2023-04-01,2-Wheelers,OKAYA EV,1544,2024,Q1
535,2023-04-01,2-Wheelers,BGAUSS,762,2024,Q1
536,2023-04-01,2-Wheelers,BATTRE ELECTRIC,644,2024,Q1
537,2023-04-01,2-Wheelers,KINETIC GREEN,838,2024,Q1
538,2023-04-01,2-Wheelers,REVOLT,520,2024,Q1
539,2023-04-01,2-Wheelers,OTHERS,4315,2024,Q1
550,2023-05-01,2-Wheelers,OLA ELECTRIC,29447,2024,Q1
551,2023-05-01,2-Wheelers,TVS,20188,2024,Q1
552,2023-05-01,2-Wheelers,ATHER,15243,2024,Q1
553,2023-05-01,2-Wheelers,BAJAJ,9976,2024,Q1
554,2023-05-01,2-Wheelers,AMPERE,10659,2024,Q1
555,2023-05-01,2-Wheelers,OKINAWA,2873,2024,Q1
556,2023-05-01,2-Wheelers,HERO ELECTRIC,2085,2024,Q1
557,2023-05-01,2-Wheelers,OKAYA EV,3831,2024,Q1
558,2023-05-01,2-Wheelers,BGAUSS,1792,2024,Q1
559,2023-05-01,2-Wheelers,BATTRE ELECTRIC,1185,2024,Q1
560,2023-05-01,2-Wheelers,KINETIC GREEN,886,2024,Q1
561,2023-05-01,2-Wheelers,REVOLT,565,2024,Q1
562,2023-05-01,2-Wheelers,OTHERS,6627,2024,Q1
573,2023-06-01,2-Wheelers,OLA ELECTRIC,17768,2024,Q1
574,2023-06-01,2-Wheelers,TVS,7772,2024,Q1
575,2023-06-01,2-Wheelers,ATHER,4547,2024,Q1
576,2023-06-01,2-Wheelers,BAJAJ,2975,2024,Q1
577,2023-06-01,2-Wheelers,AMPERE,3006,2024,Q1
578,2023-06-01,2-Wheelers,OKINAWA,2588,2024,Q1
579,2023-06-01,2-Wheelers,HERO ELECTRIC,1123,2024,Q1
580,2023-06-01,2-Wheelers,OKAYA EV,419,2024,Q1
581,2023-06-01,2-Wheelers,BGAUSS,189,2024,Q1
582,2023-06-01,2-Wheelers,BATTRE ELECTRIC,82,2024,Q1
583,2023-06-01,2-Wheelers,KINETIC GREEN,201,2024,Q1
584,2023-06-01,2-Wheelers,REVOLT,705,2024,Q1
585,2023-06-01,2-Wheelers,OTHERS,4466,2024,Q1
596,2023-07-01,2-Wheelers,OLA ELECTRIC,19409,2024,Q2
597,2023-07-01,2-Wheelers,TVS,10272,2024,Q2
598,2023-07-01,2-Wheelers,ATHER,6604,2024,Q2
599,2023-07-01,2-Wheelers,BAJAJ,4081,2024,Q2
600,2023-07-01,2-Wheelers,AMPERE,3530,2024,Q2
601,2023-07-01,2-Wheelers,OKINAWA,2238,2024,Q2
602,2023-07-01,2-Wheelers,HERO ELECTRIC,770,2024,Q2
603,2023-07-01,2-Wheelers,OKAYA EV,775,2024,Q2
604,2023-07-01,2-Wheelers,BGAUSS,653,2024,Q2
605,2023-07-01,2-Wheelers,BATTRE ELECTRIC,133,2024,Q2
606,2023-07-01,2-Wheelers,KINETIC GREEN,229,2024,Q2
607,2023-07-01,2-Wheelers,REVOLT,478,2024,Q2
608,2023-07-01,2-Wheelers,OTHERS,5020,2024,Q2
619,2023-08-01,2-Wheelers,OLA ELECTRIC,18983,2024,Q2
620,2023-08-01,2-Wheelers,TVS,15296,2024,Q2
621,2023-08-01,2-Wheelers,ATHER,7065,2024,Q2
622,2023-08-01,2-Wheelers,BAJAJ,6508,2024,Q2
623,2023-08-01,2-Wheelers,AMPERE,3654,2024,Q2
624,2023-08-01,2-Wheelers,OKINAWA,1977,2024,Q2
625,2023-08-01,2-Wheelers,HERO ELECTRIC,774,2024,Q2
626,2023-08-01,2-Wheelers,OKAYA EV,1137,2024,Q2
627,2023-08-01,2-Wheelers,BGAUSS,912,2024,Q2
628,2023-08-01,2-Wheelers,BATTRE ELECTRIC,287,2024,Q2
629,2023-08-01,2-Wheelers,KINETIC GREEN,380,2024,Q2
630,2023-08-01,2-Wheelers,REVOLT,508,2024,Q2
631,2023-08-01,2-Wheelers,OTHERS,4990,2024,Q2
642,2023-09-01,2-Wheelers,OLA ELECTRIC,18926,2024,Q2
643,2023-09-01,2-Wheelers,TVS,15425,2024,Q2
644,2023-09-01,2-Wheelers,ATHER,7107,2024,Q2
645,2023-09-01,2-Wheelers,BAJAJ,7019,2024,Q2
646,2023-09-01,2-Wheelers,AMPERE,4148,2024,Q2
647,2023-09-01,2-Wheelers,OKINAWA,1769,2024,Q2
648,2023-09-01,2-Wheelers,HERO ELECTRIC,835,2024,Q2
649,2023-09-01,2-Wheelers,OKAYA EV,873,2024,Q2
650,2023-09-01,2-Wheelers,BGAUSS,924,2024,Q2
651,2023-09-01,2-Wheelers,BATTRE ELECTRIC,255,2024,Q2
652,2023-09-01,2-Wheelers,KINETIC GREEN,231,2024,Q2
653,2023-09-01,2-Wheelers,REVOLT,879,2024,Q2
654,2023-09-01,2-Wheelers,OTHERS,5355,2024,Q2
665,2023-10-01,2-Wheelers,OLA ELECTRIC,23968,2024,Q3
666,2023-10-01,2-Wheelers,TVS,16309,2024,Q3
667,2023-10-01,2-Wheelers,ATHER,8375,2024,Q3
668,2023-10-01,2-Wheelers,BAJAJ,8960,2024,Q3
669,2023-10-01,2-Wheelers,AMPERE,4487,2024,Q3
670,2023-10-01,2-Wheelers,OKINAWA,1457,2024,Q3
671,2023-10-01,2-Wheelers,HERO ELECTRIC,658,2024,Q3
672,2023-10-01,2-Wheelers,OKAYA EV,863,2024,Q3
673,2023-10-01,2-Wheelers,BGAUSS,1157,2024,Q3
674,2023-10-01,2-Wheelers,BATTRE ELECTRIC,227,2024,Q3
675,2023-10-01,2-Wheelers,KINETIC GREEN,389,2024,Q3
676,2023-10-01,2-Wheelers,REVOLT,681,2024,Q3
677,2023-10-01,2-Wheelers,OTHERS,7092,2024,Q3
688,2023-11-01,2-Wheelers,OLA ELECTRIC,29980,2024,Q3
689,2023-11-01,2-Wheelers,TVS,18914,2024,Q3
690,2023-11-01,2-Wheelers,ATHER,9220,2024,Q3
691,2023-11-01,2-Wheelers,BAJAJ,11769,2024,Q3
692,2023-11-01,2-Wheelers,AMPERE,4638,2024,Q3
693,2023-11-01,2-Wheelers,OKINAWA,1587,2024,Q3
694,2023-11-01,2-Wheelers,HERO ELECTRIC,814,2024,Q3
695,2023-11-01,2-Wheelers,OKAYA EV,1281,2024,Q3
696,2023-11-01,2-Wheelers,BGAUSS,1589,2024,Q3
697,2023-11-01,2-Wheelers,BATTRE ELECTRIC,659,2024,Q3
698,2023-11-01,2-Wheelers,KINETIC GREEN,422,2024,Q3
699,2023-11-01,2-Wheelers,REVOLT,663,2024,Q3
700,2023-11-01,2-Wheelers,OTHERS,9707,2024,Q3
711,2023-12-01,2-Wheelers,OLA ELECTRIC,30588,2024,Q3
712,2023-12-01,2-Wheelers,TVS,12171,2024,Q3
713,2023-12-01,2-Wheelers,ATHER,6471,2024,Q3
714,2023-12-01,2-Wheelers,BAJAJ,10292,2024,Q3
715,2023-12-01,2-Wheelers,AMPERE,3309,2024,Q3
716,2023-12-01,2-Wheelers,OKINAWA,953,2024,Q3
717,2023-12-01,2-Wheelers,HERO ELECTRIC,545,2024,Q3
718,2023-12-01,2-Wheelers,OKAYA EV,700,2024,Q3
719,2023-12-01,2-Wheelers,BGAUSS,1200,2024,Q3
720,2023-12-01,2-Wheelers,BATTRE ELECTRIC,241,2024,Q3
721,2023-12-01,2-Wheelers,KINETIC GREEN,660,2024,Q3
722,2023-12-01,2-Wheelers,REVOLT,673,2024,Q3
723,2023-12-01,2-Wheelers,OTHERS,7691,2024,Q3
734,2024-01-01,2-Wheelers,OLA ELECTRIC,32275,2024,Q4
735,2024-01-01,2-Wheelers,TVS,15153,2024,Q4
736,2024-01-01,2-Wheelers,ATHER,9244,2024,Q4
737,2024-01-01,2-Wheelers,BAJAJ,10753,2024,Q4
738,2024-01-01,2-Wheelers,AMPERE,2505,2024,Q4
739,2024-01-01,2-Wheelers,OKINAWA,675,2024,Q4
740,2024-01-01,2-Wheelers,HERO ELECTRIC,413,2024,Q4
741,2024-01-01,2-Wheelers,OKAYA EV,574,2024,Q4
742,2024-01-01,2-Wheelers,BGAUSS,1469,2024,Q4
