,date,vehicle_category,maker,electric_vehicles_sold,fiscal_year,quarter
0,2021-04-01,2-Wheelers,OLA ELECTRIC,0,2022,Q1
11,2021-04-01,2-Wheelers,HERO ELECTRIC,759,2022,Q1
12,2021-04-01,2-Wheelers,OKINAWA,1251,2022,Q1
13,2021-04-01,2-Wheelers,AMPERE,751,2022,Q1
14,2021-04-01,2-Wheelers,ATHER,903,2022,Q1
15,2021-04-01,2-Wheelers,PURE EV,581,2022,Q1
16,2021-04-01,2-Wheelers,TVS,302,2022,Q1
17,2021-04-01,2-Wheelers,REVOLT,138,2022,Q1
18,2021-04-01,2-Wheelers,BAJAJ,48,2022,Q1
19,2021-04-01,2-Wheelers,BEING,171,2022,Q1
20,2021-04-01,2-Wheelers,JITENDRA,36,2022,Q1
21,2021-04-01,2-Wheelers,OTHERS,749,2022,Q1
22,2022-04-01,2-Wheelers,OKAYA EV,0,2023,Q1
33,2022-04-01,2-Wheelers,OLA ELECTRIC,13601,2023,Q1
34,2022-04-01,2-Wheelers,OKINAWA,11341,2023,Q1
35,2022-04-01,2-Wheelers,HERO ELECTRIC,6803,2023,Q1
36,2022-04-01,2-Wheelers,AMPERE,6864,2023,Q1
37,2022-04-01,2-Wheelers,TVS,1498,2023,Q1
38,2022-04-01,2-Wheelers,ATHER,2451,2023,Q1
39,2022-04-01,2-Wheelers,BAJAJ,1223,2023,Q1
40,2022-04-01,2-Wheelers,REVOLT,1241,2023,Q1
41,2022-04-01,2-Wheelers,PURE EV,1756,2023,Q1
42,2022-04-01,2-Wheelers,BEING,874,2023,Q1
43,2022-04-01,2-Wheelers,JITENDRA,940,2023,Q1
44,2022-04-01,2-Wheelers,OTHERS,4683,2023,Q1
45,2021-05-01,2-Wheelers,OLA ELECTRIC,0,2022,Q1
56,2021-05-01,2-Wheelers,HERO ELECTRIC,170,2022,Q1
57,2021-05-01,2-Wheelers,OKINAWA,245,2022,Q1
58,2021-05-01,2-Wheelers,AMPERE,147,2022,Q1
59,2021-05-01,2-Wheelers,ATHER,160,2022,Q1
60,2021-05-01,2-Wheelers,PURE EV,122,2022,Q1
61,2021-05-01,2-Wheelers,TVS,9,2022,Q1
62,2021-05-01,2-Wheelers,REVOLT,42,2022,Q1
63,2021-05-01,2-Wheelers,BAJAJ,20,2022,Q1
64,2021-05-01,2-Wheelers,BEING,54,2022,Q1
65,2021-05-01,2-Wheelers,JITENDRA,13,2022,Q1
66,2021-05-01,2-Wheelers,OTHERS,260,2022,Q1
67,2021-06-01,2-Wheelers,OLA ELECTRIC,0,2022,Q1
78,2021-06-01,2-Wheelers,HERO ELECTRIC,1355,2022,Q1
79,2021-06-01,2-Wheelers,OKINAWA,984,2022,Q1
80,2021-06-01,2-Wheelers,AMPERE,299,2022,Q1
81,2021-06-01,2-Wheelers,ATHER,320,2022,Q1
82,2021-06-01,2-Wheelers,PURE EV,460,2022,Q1
83,2021-06-01,2-Wheelers,TVS,208,2022,Q1
84,2021-06-01,2-Wheelers,REVOLT,59,2022,Q1
85,2021-06-01,2-Wheelers,BAJAJ,176,2022,Q1
86,2021-06-01,2-Wheelers,BEING,198,2022,Q1
87,2021-06-01,2-Wheelers,JITENDRA,43,2022,Q1
88,2021-06-01,2-Wheelers,OTHERS,567,2022,Q1
89,2021-07-01,2-Wheelers,OLA ELECTRIC,0,2022,Q2
100,2021-07-01,2-Wheelers,HERO ELECTRIC,4557,2022,Q2
101,2021-07-01,2-Wheelers,OKINAWA,2633,2022,Q2
102,2021-07-01,2-Wheelers,AMPERE,663,2022,Q2
103,2021-07-01,2-Wheelers,ATHER,1799,2022,Q2
104,2021-07-01,2-Wheelers,PURE EV,1417,2022,Q2
105,2021-07-01,2-Wheelers,TVS,648,2022,Q2
