,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,penetration_rate
35,Kerala,4-Wheelers,9169,159227,42.309117477747996
13,Chandigarh,4-Wheelers,1020,22651,4.914758783703565
21,Goa,4-Wheelers,1031,24234,4.3695116535907745
33,Karnataka,4-Wheelers,12878,302221,4.277312946938456
19,Delhi,4-Wheelers,8630,201130,4.263585465082181
